,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_period_by_year,num_services,charge_group
0,m,0,No,Yes,3.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,68.61,205.83,Yes,0 - 1 year,2,Medium
1,m,1,Yes,No,2.0,Yes,Yes,DSL,No,No,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),23.15,46.3,No,0 - 1 year,3,Low
2,f,0,No,No,42.0,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,42.63,1790.46,Yes,2 - 4 year,5,Low
3,f,0,No,Yes,40.0,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,75.04,3001.6,No,2 - 4 year,3,Medium
4,m,1,Yes,Yes,17.0,Yes,unkown,Fiber optic,Yes,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,22.38,380.46,Yes,1 - 2 year,3,Low
5,m,0,Yes,No,18.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,37.23,670.14,Yes,1 - 2 year,2,Low
6,f,0,No,No,25.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,67.47,1686.75,No,2 - 4 year,2,Medium
7,f,0,Yes,No,33.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,76.3,2517.9,No,2 - 4 year,2,Medium
8,f,0,Yes,No,6.0,Yes,Yes,DSL,Yes,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,64.86,389.16,No,0 - 1 year,3,Medium
9,f,0,Yes,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.6,0.0,Yes,0 - 1 year,1,Low
10,f,0,No,No,18.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,49.17,885.06,No,1 - 2 year,1,Low
11,m,0,Yes,No,22.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.2,510.4,Yes,1 - 2 year,1,Low
12,f,1,Yes,No,10.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,34.57,345.7,No,0 - 1 year,3,Low
13,m,0,Yes,No,2.0,Yes,unkown,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.36,96.72,Yes,0 - 1 year,1,Low
14,m,0,Yes,No,8.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),53.36,426.88,No,0 - 1 year,4,Medium
15,f,0,No,No,5.0,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),39.14,195.7,No,0 - 1 year,3,Low
16,f,0,Yes,No,47.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),38.42,1805.74,No,2 - 4 year,2,Low
17,f,0,Yes,No,28.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,99.53,2786.84,No,2 - 4 year,2,Medium
18,f,0,Yes,No,44.0,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,22.64,996.16,No,2 - 4 year,2,Low
19,m,0,Yes,Yes,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),117.22,1406.64,No,0 - 1 year,1,High
20,m,0,No,Yes,10.0,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,102.35,0.0,Yes,0 - 1 year,4,High
21,f,0,No,No,38.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,61.27,2328.26,Yes,2 - 4 year,2,Medium
22,m,0,Yes,No,21.0,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),36.96,776.16,Yes,1 - 2 year,4,Low
23,m,0,No,No,4.0,Yes,unkown,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),42.01,168.04,No,0 - 1 year,4,Low
24,m,0,Yes,No,16.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1212.43,19398.88,Yes,1 - 2 year,2,Very High
25,m,1,No,No,29.0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,111.0,3219.0,No,2 - 4 year,4,High
26,m,0,No,No,5.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,43.36,216.8,No,0 - 1 year,2,Low
27,f,0,No,No,51.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,100.42,5121.42,Yes,4+ years,2,High
28,f,0,No,No,15.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,68.06,1020.9,Yes,1 - 2 year,2,Medium
29,m,0,Yes,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,115.47,1154.7,No,0 - 1 year,3,High
30,f,1,No,No,9.0,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,24.62,221.58,No,0 - 1 year,1,Low
31,m,0,No,No,23.0,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),49.92,1148.16,Yes,1 - 2 year,2,Low
32,f,0,No,Yes,43.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,77.96,3352.28,Yes,2 - 4 year,3,Medium
33,m,1,Yes,No,34.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.07,716.38,Yes,2 - 4 year,2,Low
34,f,0,No,Yes,6.0,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,99.14,594.84,Yes,0 - 1 year,3,Medium
35,f,0,No,Yes,31.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,85.96,2664.76,Yes,2 - 4 year,2,Medium
36,m,0,Yes,Yes,31.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,Two year,No,Electronic check,45.99,1425.69,No,2 - 4 year,4,Low
37,f,0,Yes,Yes,19.0,Yes,No,DSL,No,No,No,No,No internet service,No,Two year,Yes,Electronic check,23.12,439.28,No,1 - 2 year,1,Low
38,m,0,No,No,45.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),37.07,1668.15,Yes,2 - 4 year,2,Low
39,m,0,No,Yes,29.0,Yes,No,DSL,No internet service,No,No,Yes,No,No,Two year,No,Mailed check,35.99,1043.71,No,2 - 4 year,2,Low
40,f,0,Yes,Yes,17.0,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Electronic check,117.44,1996.48,Yes,1 - 2 year,2,High
41,m,0,Yes,Yes,999.0,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,31.6,31568.4,No,4+ years,3,Low
42,f,0,Yes,Yes,2.0,Yes,unkown,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,44.4,88.8,No,0 - 1 year,3,Low
43,f,0,No,No,42.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.33,769.86,Yes,2 - 4 year,2,Low
44,f,0,unkown,No,29.0,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Two year,No,Mailed check,50.0,1450.0,No,2 - 4 year,3,Low
45,unkown,0,No,No,8.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,48.06,384.48,Yes,0 - 1 year,5,Low
46,f,0,No,Yes,7.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.27,715.89,Yes,0 - 1 year,2,High
47,f,0,No,Yes,17.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,96.78,1645.26,No,1 - 2 year,3,Medium
